stage,direction,phase,family,preprocess,recency,score,lift,params
k3p,LONG,family_preproc,lgb,eng,expanding,0.1569981254843306,0.1222627614053843,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,family_preproc,xgb,eng,expanding,0.1431400143244477,0.0895790364499947,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,LONG,family_preproc,cat,eng,expanding,0.146538305274264,0.0989742286168549,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,LONG,family_preproc,lgb,eng_rank,expanding,0.1904963896650945,0.1446490904279322,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,family_preproc,xgb,eng_rank,expanding,0.1372951338438919,0.1051256997557391,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k3p,LONG,family_preproc,cat,eng_rank,expanding,0.1203739261933555,-0.0528199902384249,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k3p,LONG,hparam,lgb,eng_rank,expanding,0.1741270165369239,0.1421215116295728,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,hparam,lgb,eng_rank,expanding,0.1619961363261699,0.0681261130477993,"{""n_estimators"": 200, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.03, ""min_child_samples"": 80, ""reg_lambda"": 20, ""reg_alpha"": 1}"
k3p,LONG,recency,lgb,eng_rank,expanding,0.1741270165369239,0.1421215116295728,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,recency,lgb,eng_rank,roll730,0.1741270165369239,0.1421215116295728,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,recency,lgb,eng_rank,exp365,0.1468896891635688,0.0924275954964544,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,recency,lgb,eng_rank,exp730,0.1777069496267611,0.1569130898383123,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k3p,LONG,prune,lgb,top8,exp730,0.1325013531544222,-0.0335404961222396,"{""n_estimators"": 140, ""num_leaves"": 7, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_samples"": 50, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
