idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision,source,score,prior_q50,prior_q75,w
5721,2025,k3p,LONG,0.2510120525976007,-0.9432423333079396,-0.2725353985422225,1.0885390753676196,0.6288235243947818,23.44999999999981,1880,7,2025-12-12 04:00:00,q50,-0.2725353985422225,-0.2740857038267423,-0.17756805490013175,1
5722,2025,k3p,LONG,-0.245225168666434,-1.0,-0.3427141555454616,0.6077211800061011,0.6426934480247231,15.319999999999707,1880,7,2025-12-12 08:00:00,q50,-0.3427141555454616,-0.2740857038267423,-0.17756805490013175,0
5723,2025,k3p,LONG,-0.2124554851939984,-0.9965423344300668,-0.2474380356978455,0.6735607679235703,-1.0,-53.2648404625952,1880,7,2025-12-12 12:00:00,q50,-0.2474380356978455,-0.2740857038267423,-0.17756805490013175,1
5724,2025,k3p,LONG,0.2280913183840512,-0.7880114479078448,-0.0403198278318145,0.6261781952804953,-1.0,-71.46992023129769,1880,7,2025-12-12 16:00:00,q50,-0.0403198278318145,-0.2740857038267423,-0.17756805490013175,3
5725,2025,k1,SHORT,-0.0915380998958604,-0.7441907896815471,-0.3554276736497326,0.7301093977040813,-0.5431717210739839,-28.11999999999989,1881,2,2025-12-12 20:00:00,q50,-0.3554276736497326,-0.2999698855817012,-0.1470111604626776,0
5726,2025,k1,LONG,0.7148015,-0.9990840329462252,-0.2592599749359758,3.091755119446232,0.2842415316642029,9.649999999999636,1882,3,2025-12-15 04:00:00,q10,-0.9990840329462252,-1.0,-0.9310255853465544,1
5727,2025,k2,LONG,0.16722374,-0.6545918872757966,-0.2775016326401701,1.2386560302007443,-0.2337078651685506,-11.44000000000051,1882,3,2025-12-15 08:00:00,q50,-0.2775016326401701,-0.3411000767669566,-0.1696042543093169,1
5728,2025,k3p,LONG,-0.0775724319504034,-0.8981782906394974,-0.2250332450217787,1.45826996104866,-0.292104339709298,-10.3700000000008,1882,3,2025-12-15 12:00:00,q50,-0.2250332450217787,-0.2740857038267423,-0.17756805490013175,1
5729,2025,k1,SHORT,-0.1459970940924359,-1.0,-0.7556951250480254,1.1193644705622372,1.057809894385715,19.029999999999745,1883,6,2025-12-15 16:00:00,q50,-0.7556951250480254,-0.2999698855817012,-0.1470111604626776,0
5730,2025,k2,SHORT,0.0005310143,-0.6701685134697185,-0.1161631877513723,0.6188586732210214,-0.1954835766423285,-8.569999999999709,1883,6,2025-12-15 20:00:00,q10,-0.6701685134697185,-0.980660795244496,-0.671987786463027,3
5731,2025,k3p,SHORT,-0.16170755822034,-1.0,-0.2673910245757783,0.8406522645206206,-0.2238314680711046,-6.800000000000182,1883,6,2025-12-16 00:00:00,q50,-0.2673910245757783,-0.2177506421320177,-0.1441166082294997,0
5732,2025,k3p,SHORT,-0.2443120096451236,-1.0,-0.9988979673773536,1.1234525071403254,-0.2701841123095138,-4.289999999999964,1883,6,2025-12-16 04:00:00,q50,-0.9988979673773536,-0.2177506421320177,-0.1441166082294997,0
5733,2025,k3p,SHORT,0.0135350626968722,-1.0,-0.3118473381409444,0.28351589231044,-0.858535144713526,-29.06999999999971,1883,6,2025-12-16 08:00:00,q50,-0.3118473381409444,-0.2177506421320177,-0.1441166082294997,0
5734,2025,k3p,SHORT,-0.0118436408324343,-1.0,-0.2606528765047422,0.5311657518382659,-1.0,-31.74000000000069,1883,6,2025-12-16 12:00:00,q50,-0.2606528765047422,-0.2177506421320177,-0.1441166082294997,0
5735,2025,k1,LONG,0.11752184,-0.9994922014923618,0.0114104421771413,2.173020631106873,-0.2626557116353026,-9.909999999999854,1884,2,2025-12-16 16:00:00,q10,-0.9994922014923618,-1.0,-0.9310255853465544,1
5736,2025,k2,LONG,-0.21277747,-1.0,-0.4681486169625535,1.7750400596337153,-0.0094435075885244,-0.2799999999997453,1884,2,2025-12-16 20:00:00,q50,-0.4681486169625535,-0.3411000767669566,-0.1696042543093169,0
5737,2025,k1,SHORT,0.3198281788283323,-1.0,-0.2703652399916275,1.3794722670930264,-0.736412189758079,-23.4399999999996,1885,1,2025-12-17 00:00:00,q50,-0.2703652399916275,-0.2999698855817012,-0.1470111604626776,1
5738,2025,k1,LONG,0.28499967,-1.0,-0.2897725291209608,2.8224705318935643,-0.3310946944257809,-9.859999999999673,1886,2,2025-12-17 04:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
5739,2025,k2,LONG,0.40240648,-1.0,-0.4271687879548591,0.7440536519497833,-0.5236930602262333,-17.13000000000011,1886,2,2025-12-17 08:00:00,q50,-0.4271687879548591,-0.3411000767669566,-0.1696042543093169,0
5740,2025,k1,SHORT,-0.2314950122577909,-1.0,-0.4145098012055487,0.9170616565525022,-1.0,-25.640000000000327,1887,1,2025-12-17 12:00:00,q50,-0.4145098012055487,-0.2999698855817012,-0.1470111604626776,0
5741,2025,k1,LONG,0.0444623,-1.013052017786727,-0.2523636254028687,1.8650167165876332,-0.3158368326334643,-10.529999999999744,1888,3,2025-12-17 16:00:00,q10,-1.013052017786727,-1.0,-0.9310255853465544,0
5742,2025,k2,LONG,0.53940225,-1.0,0.002727314063726,2.138765566522904,-0.3069417340395866,-11.010000000000218,1888,3,2025-12-17 20:00:00,q50,0.002727314063726,-0.3411000767669566,-0.1696042543093169,3
5743,2025,k3p,LONG,0.2010708735694924,-1.0,-0.6224630198984102,2.983725050749176,-0.4359605911329937,-8.849999999999454,1888,3,2025-12-18 00:00:00,q50,-0.6224630198984102,-0.2740857038267423,-0.17756805490013175,0
5744,2025,k1,SHORT,-0.1071729029470621,-1.0,-0.90501173523886,1.0347027653849208,-0.30826057756886,-4.5900000000001455,1889,3,2025-12-18 04:00:00,q50,-0.90501173523886,-0.2999698855817012,-0.1470111604626776,0
5745,2025,k2,SHORT,-0.5720491,-1.0,-0.7669859224731098,0.696636452982084,-0.2873210633947314,-2.8100000000004,1889,3,2025-12-18 08:00:00,q10,-1.0,-0.980660795244496,-0.671987786463027,0
5746,2025,k3p,SHORT,-0.2060739171132855,-1.0,-0.9988979673773536,1.7914507141409948,-1.0,-14.259999999999309,1889,3,2025-12-18 12:00:00,q50,-0.9988979673773536,-0.2177506421320177,-0.1441166082294997,0
5747,2025,k1,LONG,0.66736573,-1.0,-0.3436890661556407,3.840733547354604,-1.0,-15.320000000000618,1890,2,2025-12-18 16:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
5748,2025,k2,LONG,0.75764644,-1.0,0.1374282655912482,3.5245144556281014,-0.0010649627263278,-0.0200000000004365,1890,2,2025-12-18 20:00:00,q50,0.1374282655912482,-0.3411000767669566,-0.1696042543093169,3
5749,2025,k1,SHORT,0.0696537708081296,-0.9605553073253922,-0.3157498206983508,0.6813875797693302,0.0979820082664657,4.029999999999745,1891,3,2025-12-19 00:00:00,q50,-0.3157498206983508,-0.2999698855817012,-0.1470111604626776,0
5750,2025,k2,SHORT,0.21879879,-1.0,-0.6368304180094171,1.6669261698371145,-0.3398437500000067,-6.0900000000001455,1891,3,2025-12-19 04:00:00,q10,-1.0,-0.980660795244496,-0.671987786463027,0
5751,2025,k3p,SHORT,-0.2755532179882365,-1.0,-0.9988979673773536,0.7001459396790108,-0.3126142595977983,-3.4200000000000728,1891,3,2025-12-19 08:00:00,q50,-0.9988979673773536,-0.2177506421320177,-0.1441166082294997,0
5752,2025,k1,LONG,0.116530776,-1.0,-0.6257358665439045,2.054331367091337,8.57586618876955,143.5600000000004,1892,14,2025-12-19 12:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
