cluster_id,block,direction,touch_hour,price_low,price_high,object_count,families,timeframes,object_ids,has_FVG_OB,has_H4,state,role,accepted_through_4h_2close,object_direction_dominant_24h,state_direction_dominant_24h,favorable_points,adverse_points
POIC0111,2025H1,BEAR,2025-02-28 02:00:00,2879.27,2882.94,1,FVG,H1,H1_FVG_BEAR_20250227_2200,False,False,DOWN,ALIGNED,False,True,True,48.46500000000015,3.875
POIC0112,2025H1,BEAR,2025-02-28 03:00:00,2881.09,2894.97,1,OB,H4,H4_OB_BEAR_20250227_1200_VIA_20250227_2000,False,True,DOWN,ALIGNED,False,True,True,55.38999999999987,-3.049999999999727
POIC0113,2025H1,BEAR,2025-02-28 07:00:00,2866.03,2870.4,1,FVG,H1,H1_FVG_BEAR_20250228_0600,False,False,DOWN,ALIGNED,False,True,True,35.57500000000027,-1.2450000000003456
POIC0114,2025H1,BEAR,2025-02-28 11:00:00,2860.27,2866.97,2,FVG;OB,H1,H1_FVG_BEAR_20250228_1000;H1_OB_BEAR_20250228_0700_VIA_20250228_0900,True,False,DOWN,ALIGNED,False,True,True,30.980000000000015,1.2899999999999636
POIC0115,2025H1,BEAR,2025-02-28 18:00:00,2851.64,2854.45,1,FVG,H1,H1_FVG_BEAR_20250228_1600,False,False,DOWN,ALIGNED,False,True,True,15.105000000000018,6.355000000000018
POIC0116,2025H1,BEAR,2025-03-03 01:00:00,2860.69,2864.79,1,OB,H1,H1_OB_BEAR_20250228_1200_VIA_20250228_1500,False,False,BALANCE,BALANCE,True,False,,7.7199999999998,32.39000000000033
POIC0117,2025H1,BEAR,2025-03-03 01:00:00,2866.57,2873.87,1,FVG,H4,H4_FVG_BEAR_20250228_0800,False,True,BALANCE,BALANCE,False,False,,15.200000000000273,24.90999999999985
POIC0118,2025H1,BEAR,2025-03-03 01:00:00,2874.89,2880.25,1,OB,H1,H1_OB_BEAR_20250228_0200_VIA_20250228_0500,False,False,BALANCE,BALANCE,False,True,,22.549999999999727,17.5600000000004
POIC0119,2025H1,BEAR,2025-03-04 05:00:00,2889.35,2889.73,1,FVG,H1,H1_FVG_BEAR_20250304_0400,False,False,UP,OPPOSING,False,False,True,5.259999999999764,38.26000000000022
POIC0120,2025H1,BEAR,2025-03-04 09:00:00,2898.37,2911.09,2,FVG,H1;H4,H4_FVG_BEAR_20250227_0800;H1_FVG_BEAR_20250227_0700,False,True,UP,OPPOSING,True,False,True,17.889999999999873,23.070000000000164
POIC0121,2025H1,BEAR,2025-03-04 10:00:00,2909.07,2911.09,1,FVG,H1,H1_FVG_BEAR_20250227_0500,False,False,UP,OPPOSING,True,False,True,13.279999999999744,17.720000000000255
POIC0122,2025H1,BEAR,2025-03-04 10:00:00,2912.01,2920.74,3,FVG;OB,H1;H4,H4_OB_BEAR_20250226_2000_VIA_20250227_0400;H1_OB_BEAR_20250227_0100_VIA_20250227_0400;H1_FVG_BEAR_20250227_0400,True,True,UP,OPPOSING,False,True,False,19.574999999999815,11.425000000000182
POIC0123,2025H1,BEAR,2025-03-04 18:00:00,2912.28,2919.81,1,FVG,H1,H1_FVG_BEAR_20250304_1700,False,False,UP,OPPOSING,False,True,False,21.74499999999989,7.7150000000001455
POIC0124,2025H1,BEAR,2025-03-05 16:00:00,2912.4,2919.17,1,OB,H1,H1_OB_BEAR_20250305_1400_VIA_20250305_1500,False,False,BALANCE,BALANCE,False,True,,24.574999999999815,14.085000000000036
POIC0125,2025H1,BEAR,2025-03-06 08:00:00,2921.54,2922.96,1,FVG,H1,H1_FVG_BEAR_20250306_0600,False,False,BALANCE,BALANCE,False,True,,31.039999999999964,0.7100000000000364
POIC0126,2025H1,BEAR,2025-03-06 13:00:00,2905.34,2909.77,1,FVG,H1,H1_FVG_BEAR_20250306_1100,False,False,BALANCE,BALANCE,False,False,,11.325000000000273,15.384999999999764
POIC0127,2025H1,BEAR,2025-03-06 16:00:00,2909.47,2925.62,3,FVG;OB,H1;H4,H4_FVG_BEAR_20250306_1200;H1_FVG_BEAR_20250306_1000;H4_OB_BEAR_20250306_0000_VIA_20250306_0800,True,True,BALANCE,BALANCE,False,True,,21.31500000000005,8.795000000000073
POIC0128,2025H1,BEAR,2025-03-06 17:00:00,2919.84,2922.96,1,OB,H1,H1_OB_BEAR_20250306_0800_VIA_20250306_0900,False,False,BALANCE,BALANCE,False,True,,25.170000000000076,7.389999999999873
POIC0129,2025H1,BEAR,2025-03-07 01:00:00,2911.88,2912.36,1,FVG,H1,H1_FVG_BEAR_20250306_2300,False,False,BALANCE,BALANCE,False,False,,15.889999999999873,18.18000000000029
POIC0130,2025H1,BEAR,2025-03-07 21:00:00,2908.74,2911.58,1,FVG,H1,H1_FVG_BEAR_20250307_2000,False,False,BALANCE,BALANCE,False,True,,5.599999999999909,2.5
