event_id,block,direction,required_consecutive_H1_closes_beyond,confirmation_time,hours_from_arrival_to_confirmation,post_confirmation_6h_directional_dominance,post_confirmation_12h_directional_dominance
2025H1_SELL_SIDE_20250528_2300,2025H1,DOWN,3,2025-05-29 05:00:00,6.0,False,False
2025H1_BUY_SIDE_20250529_1400,2025H1,UP,1,2025-05-29 16:00:00,2.0,True,True
2025H1_BUY_SIDE_20250529_1400,2025H1,UP,2,2025-05-29 17:00:00,3.0,True,True
2025H1_BUY_SIDE_20250529_1400,2025H1,UP,3,2025-05-29 18:00:00,4.0,True,True
2025H1_BUY_SIDE_20250529_1500,2025H1,UP,1,2025-05-29 16:00:00,1.0,True,True
2025H1_BUY_SIDE_20250529_1500,2025H1,UP,2,2025-05-29 20:00:00,5.0,False,False
2025H1_BUY_SIDE_20250529_1500,2025H1,UP,3,2025-05-29 21:00:00,6.0,False,False
2025H1_BUY_SIDE_20250602_0100,2025H1,UP,1,2025-06-02 02:00:00,1.0,False,True
2025H1_BUY_SIDE_20250602_0100,2025H1,UP,2,2025-06-02 03:00:00,2.0,True,True
2025H1_BUY_SIDE_20250602_0100,2025H1,UP,3,2025-06-02 04:00:00,3.0,True,True
2025H1_BUY_SIDE_20250602_0700,2025H1,UP,1,2025-06-02 09:00:00,2.0,True,True
2025H1_BUY_SIDE_20250602_0700,2025H1,UP,2,2025-06-02 10:00:00,3.0,True,True
2025H1_BUY_SIDE_20250602_0700,2025H1,UP,3,2025-06-02 11:00:00,4.0,True,True
2025H1_SELL_SIDE_20250604_1300,2025H1,DOWN,1,2025-06-04 15:00:00,2.0,False,False
2025H1_BUY_SIDE_20250604_1700,2025H1,UP,1,2025-06-04 18:00:00,1.0,False,False
2025H1_BUY_SIDE_20250604_1700,2025H1,UP,2,2025-06-04 21:00:00,4.0,False,False
2025H1_BUY_SIDE_20250604_1700,2025H1,UP,3,2025-06-04 22:00:00,5.0,True,False
2025H1_SELL_SIDE_20250606_1500,2025H1,DOWN,1,2025-06-06 17:00:00,2.0,True,True
2025H1_SELL_SIDE_20250606_1500,2025H1,DOWN,2,2025-06-06 18:00:00,3.0,True,True
2025H1_SELL_SIDE_20250606_1500,2025H1,DOWN,3,2025-06-06 19:00:00,4.0,True,True
2025H1_SELL_SIDE_20250610_0400,2025H1,DOWN,1,2025-06-10 05:00:00,1.0,False,False
2025H1_SELL_SIDE_20250610_0400,2025H1,DOWN,2,2025-06-10 06:00:00,2.0,False,False
2025H1_SELL_SIDE_20250610_0400,2025H1,DOWN,3,2025-06-10 07:00:00,3.0,False,False
2025H1_BUY_SIDE_20250611_0300,2025H1,UP,1,2025-06-11 06:00:00,3.0,True,True
2025H1_BUY_SIDE_20250611_0300,2025H1,UP,2,2025-06-11 07:00:00,4.0,True,True
2025H1_BUY_SIDE_20250611_0300,2025H1,UP,3,2025-06-11 08:00:00,5.0,False,True
2025H1_SELL_SIDE_20250616_0800,2025H1,DOWN,1,2025-06-16 10:00:00,2.0,True,True
2025H1_SELL_SIDE_20250616_0800,2025H1,DOWN,2,2025-06-16 11:00:00,3.0,True,True
2025H1_SELL_SIDE_20250616_0800,2025H1,DOWN,3,2025-06-16 12:00:00,4.0,True,True
2025H1_BUY_SIDE_20250618_1500,2025H1,UP,1,2025-06-18 17:00:00,2.0,False,False
2025H1_BUY_SIDE_20250618_1500,2025H1,UP,2,2025-06-18 20:00:00,5.0,False,False
2025H1_SELL_SIDE_20250618_1700,2025H1,DOWN,1,2025-06-18 23:00:00,6.0,False,False
2025H1_SELL_SIDE_20250619_0800,2025H1,DOWN,1,2025-06-19 10:00:00,2.0,False,False
2025H1_BUY_SIDE_20250620_1600,2025H1,UP,1,2025-06-20 17:00:00,1.0,False,False
2025H1_BUY_SIDE_20250620_1600,2025H1,UP,2,2025-06-20 18:00:00,2.0,False,False
