family,feature,year,auc,ap,sign,n
H4_IND,price_kijun_primary_S,AVG,0.6078906914306591,,,912
H4_IND,price_cloud_primary_S,2024,0.5279303702646786,0.6040017852590469,-1.0,345
H4_IND,price_cloud_primary_S,2025,0.6768406961178044,0.7243569478437426,-1.0,346
H4_IND,price_cloud_primary_S,2026,0.6237399193548387,0.6737090377138697,-1.0,221
H4_IND,price_cloud_primary_S,AVG,0.6095036619124407,,,912
H4_IND,cloud_thickness_S,2024,0.4178854248412642,0.560531764511156,1.0,345
H4_IND,cloud_thickness_S,2025,0.3659303882195448,0.44082897617816863,-1.0,346
H4_IND,cloud_thickness_S,2026,0.6164314516129032,0.6544965304204979,1.0,221
H4_IND,cloud_thickness_S,AVG,0.4667490882245708,,,912
H4_IND,atr14_event_ratio,2024,0.5278946992937148,0.6598196733509072,1.0,345
H4_IND,atr14_event_ratio,2025,0.563821954484605,0.6135110596298972,1.0,346
H4_IND,atr14_event_ratio,2026,0.4570732526881721,0.5915412402001325,1.0,221
H4_IND,atr14_event_ratio,AVG,0.5162633021554973,,,912
H1_IND,h1_adx14,2024,0.5622458443318827,0.6521061234968495,-1.0,345
H1_IND,h1_adx14,2025,0.525033467202142,0.5608742340197796,-1.0,346
