test_year,run_id,bounded_pnl,all1_pnl,oracle_bars,selected_units,delta
2025,1740,0.0,-7.480000000000473,0,0.0,7.480000000000473
2025,1741,-9.789999999999964,-24.269999999999982,0,1.0,14.480000000000018
2025,1742,-65.79000000000087,-31.500000000000455,1,6.0,-34.29000000000042
2025,1743,-19.26000000000022,-3.300000000000182,0,3.0,-15.960000000000036
2025,1744,1.6900000000000546,-7.319999999999709,1,7.0,9.009999999999764
2025,1745,-9.019999999999982,-9.019999999999982,0,1.0,0.0
2025,1746,14.520000000000891,-1.7299999999991087,1,7.0,16.25
2025,1747,-7.819999999999709,-14.069999999999709,0,1.0,6.25
2025,1748,219.0900000000006,48.88999999999942,2,6.0,170.20000000000118
2025,1749,-24.179999999999836,-8.059999999999945,0,3.0,-16.11999999999989
2025,1750,0.0,-33.36999999999989,1,0.0,33.36999999999989
2025,1751,-92.97000000000071,-57.570000000000164,0,3.0,-35.400000000000546
2025,1752,129.2100000000014,132.32000000000198,2,4.0,-3.110000000000582
2025,1753,13.010000000000218,-9.829999999999927,1,1.0,22.840000000000146
2025,1754,-14.279999999999745,-28.75,1,4.0,14.470000000000255
2025,1755,-45.33000000000038,-15.110000000000127,0,3.0,-30.220000000000255
2025,1756,1.0599999999999454,-24.950000000000728,1,1.0,26.010000000000673
2025,1757,-46.5,-15.5,0,3.0,-31.0
2025,1758,0.0,10.140000000000327,2,0.0,-10.140000000000327
2025,1759,-19.450000000000273,-38.57000000000062,1,2.0,19.120000000000346
2025,1760,-5.7400000000002365,-5.019999999999982,1,5.0,-0.7200000000002547
2025,1761,-1.3299999999999272,-3.1900000000000546,0,1.0,1.8600000000001273
2025,1762,-26.48999999999978,-8.829999999999927,0,3.0,-17.659999999999854
2025,1763,-5.879999999999654,-24.889999999999418,1,1.0,19.009999999999764
2025,1764,-5.0,8.429999999999836,1,10.0,-13.429999999999836
2025,1765,-6.650000000000091,-6.650000000000091,0,1.0,0.0
2025,1766,0.0,-4.900000000000091,0,0.0,4.900000000000091
2025,1767,-15.86999999999989,-13.4699999999998,1,4.0,-2.400000000000091
2025,1768,202.4199999999987,107.08999999999833,2,7.0,95.33000000000038
2025,1769,-3.4200000000000728,-3.4200000000000728,0,2.0,0.0
2025,1770,0.0,-12.569999999999709,0,0.0,12.569999999999709
