idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop,source,w
4933,2025,k3p,LONG,0.1984775479135079,0.3010017575595631,0.0427821188879769,-0.2603599832566047,-6.220000000000255,1626,7,2025-06-05 00:00:00,-0.1984775479135079,mu_nonstop,3
4934,2025,k3p,LONG,0.2076780861731762,0.2864142096502096,0.019254168564075,-0.648830236755172,-11.730000000000018,1626,7,2025-06-05 04:00:00,-0.2076780861731762,mu_nonstop,3
4935,2025,k1,SHORT,0.6680982,0.8733972254598422,-0.3782161099026275,-1.0,-13.200000000000273,1627,2,2025-06-05 08:00:00,-0.6680982,mu_nonstop,3
4936,2025,k2,SHORT,0.577815389645694,0.6485828286695755,-0.3039937008413357,-1.0,-8.860000000000127,1627,2,2025-06-05 12:00:00,-0.577815389645694,EV,0
4937,2025,k1,LONG,0.3887687,0.4892812325970513,-0.0897046856411136,-1.0,-21.88000000000011,1628,1,2025-06-05 16:00:00,-0.3887687,mu_nonstop,1
4938,2025,k1,SHORT,0.10170714,0.1436992418386748,0.0273768618680309,-0.1084263959390892,-5.3400000000001455,1629,2,2025-06-05 20:00:00,-0.10170714,mu_nonstop,0
4939,2025,k2,SHORT,0.0585561496797083,-0.0320790914661893,-0.0887568130644144,-0.1760863391082154,-6.200000000000273,1629,2,2025-06-06 00:00:00,-0.0585561496797083,EV,0
4940,2025,k1,LONG,0.5613948,2.318616084907858,0.4555622362127756,-1.0,-10.460000000000036,1630,3,2025-06-06 04:00:00,-0.5613948,mu_nonstop,3
4941,2025,k2,LONG,0.2095886684906342,0.3848496848439844,0.0946008833378592,-1.0,-20.71000000000004,1630,3,2025-06-06 08:00:00,-0.2095886684906342,mu_nonstop,3
4942,2025,k3p,LONG,0.4740784495606354,0.2858857747856839,-0.3237249596367895,-1.0,-9.309999999999944,1630,3,2025-06-06 12:00:00,-0.4740784495606354,mu_nonstop,3
4943,2025,k1,SHORT,0.31434694,1.295414616129385,0.5738580956728434,1.4968666069829626,33.4399999999996,1631,5,2025-06-06 16:00:00,-0.31434694,mu_nonstop,3
4944,2025,k2,SHORT,0.0517120535373689,0.0789767560608569,0.0231806522858612,0.0679156908665015,2.899999999999636,1631,5,2025-06-06 20:00:00,-0.0517120535373689,EV,1
4945,2025,k3p,SHORT,0.049420644,0.0917447825782442,0.0377900517533142,-0.3247520297014098,-14.340000000000146,1631,5,2025-06-09 04:00:00,-0.049420644,neg_pstop,3
4946,2025,k3p,SHORT,0.26228014,0.158566954939397,-0.1453021392433611,-0.3738208113551483,-8.080000000000382,1631,5,2025-06-09 08:00:00,-0.26228014,neg_pstop,0
4947,2025,k1,LONG,0.18872833,0.2758791683712364,0.0350846204281266,-0.120303605313094,-3.1700000000000728,1632,4,2025-06-09 12:00:00,-0.18872833,mu_nonstop,0
4948,2025,k2,LONG,0.4891702205229211,0.7229121873773393,-0.1198851472636621,-0.3237547892720394,-3.380000000000109,1632,4,2025-06-09 16:00:00,-0.4891702205229211,mu_nonstop,3
4949,2025,k3p,LONG,0.2145028234031062,0.2969812613882547,0.018775118919552,-0.8262052877138332,-21.25,1632,4,2025-06-09 20:00:00,-0.2145028234031062,mu_nonstop,3
4950,2025,k3p,LONG,0.1916184533850069,0.3574362534919139,0.0973264180290551,-0.5985054347825947,-8.809999999999945,1632,4,2025-06-10 00:00:00,-0.1916184533850069,mu_nonstop,3
4951,2025,k1,SHORT,0.2879902,0.2489648694824721,-0.1107247886104947,-0.5893023255813987,-12.670000000000073,1633,2,2025-06-10 04:00:00,-0.2879902,mu_nonstop,0
4952,2025,k2,SHORT,0.1050674911339347,0.4313508664904063,0.2809624220158758,-1.0,-20.61999999999989,1633,2,2025-06-10 08:00:00,-0.1050674911339347,EV,3
4953,2025,k1,LONG,0.22081244,0.3010982466655501,0.013799568245624,-0.2944180955855554,-8.070000000000164,1634,2,2025-06-10 12:00:00,-0.22081244,mu_nonstop,0
4954,2025,k2,LONG,0.1406084386434906,0.3746602267535565,0.181371398604432,-0.5241537955964477,-15.949999999999818,1634,2,2025-06-10 16:00:00,-0.1406084386434906,mu_nonstop,3
4955,2025,k1,SHORT,0.20457748,0.2140080138869119,-0.0343506748003658,-0.5237200563644956,-11.150000000000093,1635,2,2025-06-10 20:00:00,-0.20457748,mu_nonstop,0
4956,2025,k2,SHORT,0.1544825730779214,0.101904760943343,-0.0683203218139965,-0.3727544910179682,-9.960000000000036,1635,2,2025-06-11 00:00:00,-0.1544825730779214,EV,1
4957,2025,k1,LONG,0.55395585,2.655007234271723,0.6302945841429883,-0.1649961449499063,-2.1400000000003274,1636,4,2025-06-11 04:00:00,-0.55395585,mu_nonstop,3
4958,2025,k2,LONG,0.2474154724871862,0.3773479545433742,0.0365707595907658,-0.4386164956290476,-11.540000000000418,1636,4,2025-06-11 08:00:00,-0.2474154724871862,mu_nonstop,3
4959,2025,k3p,LONG,0.2542954321586712,0.2874628348061142,-0.0399330831591345,-1.0,-17.94550785718411,1636,4,2025-06-11 12:00:00,-0.2542954321586712,mu_nonstop,3
4960,2025,k3p,LONG,0.7254097473529332,1.7959260712941068,-0.2322659537008302,-1.0,-5.457753928591956,1636,4,2025-06-11 16:00:00,-0.7254097473529332,mu_nonstop,3
4961,2025,k1,SHORT,0.10254863,0.2509024258673669,0.1226241045024701,-0.8779203685422837,-26.68000000000029,1637,1,2025-06-11 20:00:00,-0.10254863,mu_nonstop,0
4962,2025,k1,LONG,0.21378708,0.6691008656034737,0.3122686672277127,-0.0041465100207287,-0.1199999999998908,1638,3,2025-06-12 00:00:00,-0.21378708,mu_nonstop,3
4963,2025,k2,LONG,0.0326290784404678,0.3202288270630148,0.2771509771054088,-0.1926881720430115,-8.960000000000036,1638,3,2025-06-12 04:00:00,-0.0326290784404678,mu_nonstop,1
4964,2025,k3p,LONG,0.0998874305734692,0.2770993076171566,0.1495331391921222,-0.4267753199335435,-13.58999999999969,1638,3,2025-06-12 08:00:00,-0.0998874305734692,mu_nonstop,3
4965,2025,k1,SHORT,0.15047951,0.1576915972535469,-0.0165172651762763,-1.0,-20.98000000000001,1639,1,2025-06-12 12:00:00,-0.15047951,mu_nonstop,0
4966,2025,k1,LONG,0.1140276,0.2096345103825936,0.071702789217438,0.7896537842189973,39.23000000000002,1640,10,2025-06-12 16:00:00,-0.1140276,mu_nonstop,0
4967,2025,k2,LONG,0.1830034710997858,0.4938764483971256,0.2204918729462315,1.5523708421797846,43.870000000000346,1640,10,2025-06-12 20:00:00,-0.1830034710997858,mu_nonstop,3
4968,2025,k3p,LONG,0.2221229579886178,0.2810494787019642,-0.0035010208370929,2.1041240931320533,41.43000000000029,1640,10,2025-06-13 00:00:00,-0.2221229579886178,mu_nonstop,3
4969,2025,k3p,LONG,0.2292620265050418,0.2818822780651513,-0.0120046507449647,0.3312899704767603,12.63000000000011,1640,10,2025-06-13 04:00:00,-0.2292620265050418,mu_nonstop,3
4970,2025,k3p,LONG,0.0915896144327652,0.282436415581352,0.1649785587437185,0.0487698671892062,2.2400000000002365,1640,10,2025-06-13 08:00:00,-0.0915896144327652,mu_nonstop,3
4971,2025,k3p,LONG,0.1144503143308031,0.2478660109353916,0.1050473537411106,0.0934194692694541,3.160000000000309,1640,10,2025-06-13 12:00:00,-0.1144503143308031,mu_nonstop,3
4972,2025,k3p,LONG,0.261703643760565,0.2900924112558505,-0.0475294735576588,-0.3089127987334543,-8.919999999999618,1640,10,2025-06-13 16:00:00,-0.261703643760565,mu_nonstop,3
4973,2025,k3p,LONG,0.4125164224056848,0.4068812443166259,-0.1734803733385267,-0.1346673877771666,-2.4899999999997817,1640,10,2025-06-13 20:00:00,-0.4125164224056848,mu_nonstop,3
4974,2025,k3p,LONG,0.6220313599176519,0.4727206536259044,-0.4433577773278301,-1.0,-9.168807838560042,1640,10,2025-06-16 04:00:00,-0.6220313599176519,mu_nonstop,3
4975,2025,k1,SHORT,0.25441137,-0.0304844140194805,-0.2771402029691403,1.554393305439358,37.15000000000009,1641,10,2025-06-16 08:00:00,-0.25441137,mu_nonstop,0
4976,2025,k2,SHORT,0.056735852031481,0.0689641527238486,0.0083155607279508,0.7257019438444952,23.519999999999985,1641,10,2025-06-16 12:00:00,-0.056735852031481,EV,1
