idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop
6709,2026,k3p,SHORT,0.11470174,0.0346341620775411,-0.0840401772933133,-0.4701068337137421,-21.69000000000051,2189,7,2026-08-14 08:00:00,-0.11470174
6722,2026,k3p,SHORT,0.647184,0.6748665371619659,-0.4090803118093783,2.2237941490048247,45.64999999999964,2193,6,2026-08-18 16:00:00,-0.647184
6723,2026,k3p,SHORT,0.33108807,0.0227657408402833,-0.3158597903689585,0.378942534724442,15.36999999999989,2193,6,2026-08-18 20:00:00,-0.33108807
6724,2026,k3p,SHORT,0.043356948,0.0185819984422093,-0.0255806080298566,-0.1831440190716635,-13.0600000000004,2193,6,2026-08-19 00:00:00,-0.043356948
6725,2026,k3p,SHORT,0.04911092,-0.0117478211073409,-0.0602817944009752,-0.207221797101563,-10.61999999999989,2193,6,2026-08-19 04:00:00,-0.04911092
6734,2026,k3p,SHORT,0.56164575,1.143425025294683,-0.0604205225273188,-1.0,-23.78000000000065,2195,3,2026-08-20 16:00:00,-0.56164575
6751,2026,k3p,SHORT,0.6415409,1.274978963442398,-0.1845130540562536,-1.0,-15.664814727879277,2199,3,2026-08-25 16:00:00,-0.6415409
6756,2026,k3p,SHORT,0.35886502,0.1651992832021461,-0.2529499839667942,0.5473386716909977,23.23999999999978,2201,6,2026-08-26 12:00:00,-0.35886502
6757,2026,k3p,SHORT,0.2403498,0.5242971166867632,0.1579326260985926,0.2740040126110794,9.5600000000004,2201,6,2026-08-26 16:00:00,-0.2403498
6758,2026,k3p,SHORT,0.07042689,0.3728277869301103,0.2761437998657696,-0.2744622713023296,-13.5,2201,6,2026-08-26 20:00:00,-0.07042689
6759,2026,k3p,SHORT,0.18328148,0.0516430728164712,-0.1411036273324823,-0.2218281036834921,-8.13000000000011,2201,6,2026-08-27 00:00:00,-0.18328148
2815,2024,k1,LONG,0.40919304,0.3420351460939709,-0.2071162937010845,-1.0,-5.659999999999855,978,1,2024-01-03 08:00:00,-0.40919304
2820,2024,k1,LONG,0.10105821,0.4511377626277742,0.3044883916539889,-0.166955017301041,-1.930000000000064,980,3,2024-01-04 04:00:00,-0.10105821
2825,2024,k1,LONG,0.26469636,0.5972911808759407,0.1744940200219482,-0.6173184357541809,-4.419999999999845,982,3,2024-01-05 00:00:00,-0.26469636
2830,2024,k1,LONG,0.16340224,0.3789990302855055,0.1536674879968001,0.0964061608670882,1.6900000000000546,984,2,2024-01-05 20:00:00,-0.16340224
2835,2024,k1,LONG,0.13908938,0.401096707912625,0.2062190534192475,0.0092506938020478,0.1000000000001364,986,6,2024-01-08 20:00:00,-0.13908938
2843,2024,k1,LONG,0.6739328,0.964204203327055,-0.3595374170362559,-1.0,-4.930000000000064,988,1,2024-01-10 04:00:00,-0.6739328
2845,2024,k1,LONG,0.19109794,1.137169868184083,0.7287610644215252,-1.0,-10.230000000000018,990,2,2024-01-10 12:00:00,-0.19109794
2849,2024,k1,LONG,0.29379833,0.4954489441574805,0.0560885455831501,-1.0,-9.240000000000007,992,4,2024-01-11 04:00:00,-0.29379833
2855,2024,k1,LONG,0.1381562,0.3573456611548058,0.169819945821889,0.6855282924386598,13.690000000000056,994,5,2024-01-12 04:00:00,-0.1381562
2860,2024,k1,LONG,0.25702626,0.6247094094377591,0.2071164342542505,0.3923267326732125,3.169999999999618,996,3,2024-01-15 04:00:00,-0.25702626
2864,2024,k1,LONG,0.39563674,0.4325047759913013,-0.1342467398153896,-0.7174721189591169,-3.8600000000001273,998,1,2024-01-16 00:00:00,-0.39563674
2871,2024,k1,LONG,0.37773237,0.5135662386232966,-0.0581567335846632,-1.0,-6.0,1000,1,2024-01-17 04:00:00,-0.37773237
2877,2024,k1,LONG,0.14436811,0.4657609056970518,0.2541517709702711,1.811340206185552,17.569999999999936,1002,10,2024-01-18 04:00:00,-0.14436811
2891,2024,k1,LONG,0.57426107,2.4811849432278343,0.48207595530645,-1.0,-4.060000000000173,1004,1,2024-01-22 16:00:00,-0.57426107
2894,2024,k1,LONG,0.6626639,0.8107792087351826,-0.3891587621349991,1.2337164750956486,3.2199999999998,1006,3,2024-01-23 04:00:00,-0.6626639
2899,2024,k1,LONG,0.3779774,0.5325677484787203,-0.0467082101037372,-0.5760869565217304,-4.240000000000009,1008,2,2024-01-24 00:00:00,-0.3779774
2902,2024,k1,LONG,0.23742647,0.4580249819713807,0.1118512573164314,-1.0,-8.039999999999964,1010,2,2024-01-24 12:00:00,-0.23742647
2908,2024,k1,LONG,0.67778516,0.8602690385732736,-0.4005937059513315,-1.0,-3.289999999999964,1012,2,2024-01-25 12:00:00,-0.67778516
2911,2024,k1,LONG,0.40948632,0.4070578095565074,-0.1691131078332185,0.1163101604277926,0.8699999999998909,1014,3,2024-01-26 00:00:00,-0.40948632
