PnL,PF,WR,DD,P95,Max,N,routes,event_routes,event_before_last,changed,year,method,q,delta
2571.0400000000022,2.2612534829873265,0.6763485477178424,319.3000000000002,92.2199999999998,241.4699999999998,241,67,8,2,11,2025,SMALL__LOGIT,0.95,-140.16999999999962
1959.3100000000036,2.0979663657403553,0.6804979253112033,228.24000000000024,55.0300000000002,165.3800000000001,241,67,53,30,72,2025,SMALL__TREE2,0.5,-751.8999999999983
2214.720000000003,2.1317434118073932,0.6680497925311203,251.5900000000006,80.64999999999964,161.8099999999995,241,67,36,14,44,2025,SMALL__TREE2,0.7,-496.4899999999989
2214.720000000003,2.1317434118073932,0.6680497925311203,251.5900000000006,80.64999999999964,161.8099999999995,241,67,36,14,44,2025,SMALL__TREE2,0.8,-496.4899999999989
2214.720000000003,2.1317434118073932,0.6680497925311203,251.5900000000006,80.64999999999964,161.8099999999995,241,67,36,14,44,2025,SMALL__TREE2,0.9,-496.4899999999989
2214.720000000003,2.1317434118073932,0.6680497925311203,251.5900000000006,80.64999999999964,161.8099999999995,241,67,36,14,44,2025,SMALL__TREE2,0.95,-496.4899999999989
2410.950000000003,2.2088416239226265,0.6721991701244814,306.1399999999999,84.63999999999942,241.4699999999998,241,67,39,16,53,2025,SMALL__HGB,0.5,-300.25999999999885
2546.5200000000023,2.256938651608861,0.6721991701244814,287.34000000000015,85.04000000000042,241.4699999999998,241,67,29,10,39,2025,SMALL__HGB,0.7,-164.6899999999996
2685.6900000000005,2.3316260505243336,0.6763485477178424,299.9800000000005,92.2199999999998,241.4699999999998,241,67,21,6,28,2025,SMALL__HGB,0.8,-25.520000000001346
2698.840000000002,2.337078763017352,0.6763485477178424,313.1400000000003,92.2199999999998,241.4699999999998,241,67,8,3,11,2025,SMALL__HGB,0.9,-12.36999999999989
2635.3200000000024,2.2933705019729507,0.6804979253112033,319.3000000000002,92.2199999999998,241.4699999999998,241,67,3,2,5,2025,SMALL__HGB,0.95,-75.88999999999942
2279.290000000004,2.2046095954844818,0.6763485477178424,263.9000000000001,80.64999999999964,200.67999999999984,241,67,39,19,53,2025,GEOM_DELTA__LOGIT,0.5,-431.9199999999978
2691.8800000000056,2.434315339652707,0.6763485477178424,260.7999999999993,92.2199999999998,251.8499999999999,241,67,32,13,46,2025,GEOM_DELTA__LOGIT,0.7,-19.32999999999629
2857.210000000004,2.5050225183702546,0.6763485477178424,277.24999999999955,104.44000000000004,251.8499999999999,241,67,27,9,35,2025,GEOM_DELTA__LOGIT,0.8,146.00000000000227
2738.5100000000016,2.3457183854386803,0.6680497925311203,324.74000000000024,92.26999999999998,247.44000000000005,241,67,18,7,22,2025,GEOM_DELTA__LOGIT,0.9,27.299999999999727
2754.150000000002,2.3722241874971997,0.6763485477178424,319.3000000000002,92.2199999999998,241.4699999999998,241,67,13,3,18,2025,GEOM_DELTA__LOGIT,0.95,42.940000000000055
2046.950000000004,1.987667128264764,0.6431535269709544,240.26000000000022,85.04000000000042,161.8099999999995,241,67,40,17,52,2025,GEOM_DELTA__HGB,0.5,-664.259999999998
2488.0899999999997,2.2295607740813224,0.6639004149377593,327.380000000001,92.26999999999998,241.4699999999998,241,67,17,7,28,2025,GEOM_DELTA__HGB,0.7,-223.12000000000216
2704.54,2.343890840608805,0.6804979253112033,319.3000000000002,104.44000000000004,241.4699999999998,241,67,11,4,18,2025,GEOM_DELTA__HGB,0.8,-6.670000000001892
2730.58,2.3625444728871328,0.6887966804979253,319.3000000000002,92.2199999999998,241.4699999999998,241,67,5,2,10,2025,GEOM_DELTA__HGB,0.9,19.369999999998072
2725.6900000000014,2.3815161913257694,0.6846473029045643,319.3000000000002,92.2199999999998,241.4699999999998,241,67,1,0,2,2025,GEOM_DELTA__HGB,0.95,14.479999999999563
